site_name,placementid,placement,size,type,is_vid,,Notes
racinggames.gg,605a0b9b337bfd28970d5bf7,Racinggames.gg - 300x250 Static,"300x250, 5x5",In-article,Display,,
racinggames.gg,6155c52672dc634ba6c64301,[V][A] Instream - PreRoll - Desktop - Racinggames.gg - VPAID,1x1,PreRoll,Video,,
racinggames.gg,6241c4b1ce280777db115911,Racing Games - 728x90 Static Gallery,728x90,In-article,Display,,
racinggames.gg,6241c4f6ce280777db115913,Racing Games - 300x50 Dynamic V2,"300x50, 320x50, 300x100, 320x100",In-article,Display,,
racinggames.gg,6155c53072dc634ba6c64303,[V][A] Instream - PreRoll - Mobile - Racinggames.gg - VPAID,1x1,PreRoll,Video,,
racinggames.gg,6241c49fce280777db11590f,Racing Games - 300x250 Static Gallery,300x250,In-article,Display,,
racinggames.gg,605a0bc5e8fdeb39324f4c03,Racinggames.gg - 300x250 Vertical Sticky (RM),"300x250, 300x600, 120x600, 160x600",Outside article,Display,,
racinggames.gg,5f3a91b365cb301ac4f53fbd,Racinggames.gg - 300x250 Dynamic,"300x250, 300x600, 160x600",In-article,Display,,
racinggames.gg,6241c50cc422233f69f905d6,Racing Games - 300x50 ATF V2,"5x5, 300x50, 320x50, 300x100, 320x100",In-article,Display,,Removed
racinggames.gg,605a0bb7e8fdeb39324f4c01,Racinggames.gg - Rich Media 1x1 [Slider On],"1x1, 2x2",Rich Media,Display and Video,,Removed
racinggames.gg,6135d1ac1f2bbd4053f45a8f,Racinggames.gg - Rich Media 1x1 [Slider Off],"1x1, 2x2",Rich Media,Display,,Removed
racinggames.gg,605a0bd5337bfd28970d5bfa,Racinggames.gg - 728x90 Desktop Footer (RM),"728x90, 970x90",Outside article,Display,Adhesive Desktop Footer,
racinggames.gg,6241c4cdc422233f69f905d2,Racing Games - 300x50 Dynamic Gallery,"300x50, 320x50, 320x100, 300x100",In-article,Display,,
racinggames.gg,6135cc210f8eee2b66278c3f,[V][A] Instream - PreRoll - Mobile - Racinggames.gg,1x1,PreRoll,Video,,
racinggames.gg,6135cc161f2bbd4053f45a8c,[V][A] Instream - PreRoll - Desktop - Racinggames.gg,1x1,PreRoll,Video,,
racinggames.gg,6241c4ddc422233f69f905d4,Racing Games - 300x250 static V2,300x250,In-article,Display,,Removed
racinggames.gg,5f3a917bcdab884bd8e3d569,Racinggames.gg - 728x90 Static,728x90,In-article,Display,,
racinggames.gg,605a0b8c337bfd28970d5bf5,Racinggames.gg - 728x90 Dynamic,"728x90, 970x90, 970x250",Outside article,Display or Desktop Takeover,Billboard or Takeover,
racinggames.gg,62623d163e2b7404acf4bd37,Racing Games - 300x50 ATF,"5x5, 300x50, 320x50, 300x100, 320x100",In-article,Display,,
racinggames.gg,605a0be7337bfd28970d5bfd,Racinggames.gg - 300x50 Mobile Footer (RM),"300x50, 320x50",Outside article,Display,Adhesive Mobile Footer,
racinggames.gg,5f3a91a572e701565245a74c,Racinggames.gg - 300x50 Mobile Dynamic,"300x50, 320x50, 300x100, 320x100, 5x5",In-article,Display or Mobile Takeover,,
racinggames.gg,62bf0b02b78a95338ae25ab9,Racinggames.gg - 728x90 Static v2,728x90,In-article,,,