site_name,placementid,placement,size,type,is_vid,
realsport101.com,5e82138a6a9be55c3ef2265b,realsport101 - 300x250 Dynamic,"300x250, 300x600, 160x600",In-article,Display,
realsport101.com,5e8213cc1c957813c16ee0e0,realsport101 - 728x90 Static,728x90,In-article,Display,
realsport101.com,60dc5088a4e99c2e94acbc37,[V][A] Instream - Preroll - Realsport101 - Desktop - CMS,1x1,PreRoll,Video,
realsport101.com,6241a052ce280777db115867,realsport101 - 300x50 Dynamic Mobile ATF V2,"300x50, 320x50, 300x100, 320x100, 5x5",In-article,Display and Mobile Takeover,
realsport101.com,6241a0d8ce280777db11586d,realsport101 - 300x50 Dynamic Gallery,"300x50, 320x50, 300x100, 320x100",In-article,Display,
realsport101.com,60c220434ddc61657bcb59a8,[V][A] Instream - Preroll - Realsport101 - Desktop - VPAID,1x1,PreRoll,Video,
realsport101.com,5e78f8b2963d0e25e62b5f1c,realsport101.com - Rich Media,"1x1, 2x2",Rich Media,Display and Video,
realsport101.com,60dc5096a4e99c2e94acbc39,[V][A] Instream - Preroll - Realsport101 - Mobileweb - CMS,1x1,PreRoll,Video,
realsport101.com,5ee23cf6b519801b8a4d5603,realsport101 - 300x50 Mobile Sticky Footer (RM),"300x50, 320x50, 320x100, 300x100",Outside article,Display,Adhesive Mobile Footer
realsport101.com,5f22d6c22389887700c7a998,realsport101.com - Rich Media With Slider,"1x1, 2x2",Rich Media,Display and Video,
realsport101.com,620d1990c60cb1644bf9d3ea,realsport101.com - AMP,300x250,AMP,Display,
realsport101.com,6228bfcb44e4512a1c8fbf3c,realsport101 - 300x50 Dynamic Mobile V2,"300x50, 320x50, 300x100, 320x100",In-article,Display and Mobile Takeover,
realsport101.com,5e8213ac1c957813c16ee0de,realsport101 - 300x250 Static,"300x250, 5x5",In-article,Display and Mobile Takeover,
realsport101.com,6241a0c8ce280777db11586b,realsport101 -728x90 Static Gallery,728x90,In-article,Display,
realsport101.com,5eccfb38b519801b8a4d4d59,Realsport101 - 300x250 Vertical Sticky (RM),"300x250, 300x600, 160x600",Outside article,Display,
realsport101.com,5e8213fa6a9be55c3ef22661,realsport101 - 728x90 Dynamic Sticky Footer (RM),"728x90, 970x90",Outside article,Display,Adhesive Banner Footer
realsport101.com,60c2204c4ddc61657bcb59aa,[V][A] Instream - Preroll - Realsport101 - MobileWeb - VPAID,1x1,PreRoll,Video,
realsport101.com,5e8213be6a9be55c3ef2265f,realsport101 - 728x90 Dynamic,"728x90, 970x250, 970x90",Outside article,Display and Desktop Takeover,Takeover or Billboard
realsport101.com,6228c0759f5ca90dbda60b4d,realsport101 - 300x250 Static V2,300x250,In-article,Display,
realsport101.com,6241a0bbce280777db115869,realsport101 - 300x250 Static Gallery,300x250,In-article,Display,
realsport101.com,626242bf6e93aa1d5434d33c,realsport101 - 300x50 Dynamic Mobile ATF,"300x50, 320x50, 300x100, 320x100, 5x5",Outside article,Display,
realsport101.com,5e8213dd1c957813c16ee0e2,realsport101 - 300x50 Dynamic Mobile,"300x50, 320x50, 5x5",In-article,Display,
realsport101.com,62bf0a7e1a909c38af394cb3,realsport101 - 728x90 Static v2	,728x90,In-article,Display,